"effectID","coder","Authors","documentType","document PY","document title","abstract","StudyYear","ExclusionReasonLSR","Notes_ExclusionReasonLSR","page","EffectNumber","statistical_technique","dependent_variable","study_design","coefficient","effect_direction","coefficient_sd","coefficient_sd_type","Notes: Coefficient","baselineConsumption","Notes_baselineConsumption","PercentageChange","control_mean","control_sample_size","control_sd","treated_mean","treatment_sample_size","treated_sd","total_sample_size","diff_mean","uncertaintyMeasuresMissing","pooled_sd","p_value","significance_bound","significance_test","test_statistic","effect test_tails","Notes: Difference of means","Notes: Sample size","Notes: Doc level","Notes: Significance","Notes: Uncertainty","controls Electricity use","controls Energy prices","controls Environmental attitudes","controls HH controls (demographics)","controls None - base model","controls Residence controls","controls Seasonal controls","controls Weather controls","geographic_scope","geographic_location","Notes: Study scope","city","state","country","Randomisation method","smart_metering","randomisation_dummy","Opt_in_out","outOfSampleBias","reportingBiases","Notes_Biases","interventionDuration","interventionTreatmentPeriod","Notes_interventionDuration","interventionFollowup","framing_unit","medium","informationFrequency","Awareness Campaign","Bills","Commitment strategies","Competition","Critical Peak Pricing","Dynamic Pricing","Gamification","Goal Setting","Historical","Home audits","Home Energy Report","In home display","Injunctive Norm / Social Norm","Moral suasion","Peak Load Pricing","peer comparison","Real-time Pricing","Rewards","tips","ToU","AdditionalIntervention","Smart Metering","Notes_interventionType","multicoded","EffectSizeExclusion","EffectSizeExlusionReason","issuesToResolve","issuesResolvedDoubleChecking","knownUnresolvableIssues","dateCodingCompleted","control","documentID","r_coefficient","smd1","smd2","smd","zi","var_r1","var_r2","var_r","var_smd","vi","ConfounderPossibility","ConfounderAll","ConfounderJustifiedOmission","ConfounderAccuracy","ConfounderAnalysis","SampleExchangeability","SampleExclusion","SampleGroupComparability","SampleGroupDifferenceIntervention","SampleBiasAdjustment","AwareofStudy","DataSelective","DataSubgroups","DataCausal","StatsRecording","StatsDescriptiveError","StatsInferentialError","StatsInferentialViolation","cat_criterion1","cat_criterion2","cat_criterion5","cat_criterion6","cat_criterion7","randomisation_level","ElectricityUse","ElectricityPrice","EnvironmentAttitudes","HouseholdType","ResidenceType","Season","Weather","Region","StatsMethod","StudyDesign","Control","BaselineConsumption","InterventionDuration","Randomisation","After2000","Followup","Geographic_Scope","InterventionID","cat_criteria_sum"
"23-190-1","Luke","Bonan, J; Cattaneo, C; d'Adda, G; Tavoni, M","Peer-Reviewed Paper",2021,"Can social information programs be more effective? The role of environmental identity for energy conservation","Social information programs are widely used to nudge behavioural change. Their effectiveness strongly depends on household and individual traits. The existing evidence in economics and psychology points to the role of environmental values and identity in determining pro-environmental behavior and the impact of social information. In a large field experiment on household energy conservation, we combine electricity metering and survey data to test whether the impact of a social information program can be strengthened by leveraging environmental values and identity. We experimentally augment social information messages with an environmental self-identity prime. The self-identity prime does not strengthen the effectiveness of a social information program on average. Nonetheless, we find suggestive evidence that priming environmental self-identity can be effective if targeted to specific sub-groups.",2021,"NA","NA","5",1,"OLS regression","electric consumption kWh","Difference in Difference",0.254,1,0.531,"standard error",NA,NA,NA,NA,NA,40,NA,NA,40,NA,80,0,"uncertainty measures available",NA,NA,NA,"t-test",0.47834274952919,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,"Utility Area",NA,NA,NA,NA,"Italy","Individual Household - RCT","No","yes","No","Probably No","Probably No",NA,"60","8","Pre-intervention calculated from June 2015 to June 2016 (52). April - May 2018 (8)",NA,"Energy (kWh)","HER","one time only",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23-190",-0.0534040280611796,NA,NA,-0.106960690449142,-0.0534548843697273,0.0125861285243273,0.281961,0.0125861285243273,0.0500715036831335,0.012987012987013,"Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","3","1","2","2","2","household",0,0,0,1,0,0,"0","Europe excl. UK","OLS","DID",1,NA,"60","Yes","After",0,"Minor",114,"medium"
"23-190-1","Luke","Bonan, J; Cattaneo, C; d'Adda, G; Tavoni, M","Peer-Reviewed Paper",2021,"Can social information programs be more effective? The role of environmental identity for energy conservation","Social information programs are widely used to nudge behavioural change. Their effectiveness strongly depends on household and individual traits. The existing evidence in economics and psychology points to the role of environmental values and identity in determining pro-environmental behavior and the impact of social information. In a large field experiment on household energy conservation, we combine electricity metering and survey data to test whether the impact of a social information program can be strengthened by leveraging environmental values and identity. We experimentally augment social information messages with an environmental self-identity prime. The self-identity prime does not strengthen the effectiveness of a social information program on average. Nonetheless, we find suggestive evidence that priming environmental self-identity can be effective if targeted to specific sub-groups.",2021,"NA","NA","5",1,"OLS regression","electric consumption kWh","Difference in Difference",1.217,-1,0.461,"standard error",NA,NA,NA,NA,NA,40,NA,NA,40,NA,80,0,"uncertainty measures available",NA,NA,NA,"t-test",2.63991323210412,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,"Utility Area",NA,NA,NA,NA,"Italy","Individual Household - RCT","No","yes","No","Probably No","Probably No",NA,"60","8","Pre-intervention calculated from June 2015 to June 2016 (52). April - May 2018 (8)",NA,"Energy (kWh)","HER","one time only",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0",0,NA,NA,NA,NA,NA,NA,NA,"9/29/2023",NA,"23-190",0.28307861388923,NA,NA,0.590302544168599,0.291025722221786,0.0107108148709168,0.212521,0.0107108148709168,0.0521778568353245,0.012987012987013,"Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","3","1","2","2","2","household",0,0,0,1,0,0,"0","Europe excl. UK","OLS","DID",1,NA,"60","Yes","After",0,"Minor",115,"medium"
"23-190-1","Luke","Shen, M.; Li, X.; Song, X.; Lu, Y.","Peer-Reviewed Paper",2022,"Linking personality traits to behavior-based intervention: Empirical evidence from Hangzhou, China","Eco-feedback has been considered as a promising approach to facilitating residential energy-saving behavior recently. However, the mechanism that how personality traits affect effectiveness of eco-feedback with different information delivery method is still unknown. To fill the knowledge gap, an energy conservation field experiment was conducted in residential communities in Hangzhou, China. Three information delivery methods, including stickers, WeChat, and face-to-face consultation, and two intervention contents including eco-feedback and energy-saving tips, were adopted to intervene subject residents separately. The findings suggest that the treat[1]ment effect was primarily determined by personality traits, demographics and situational factors. In addition, stickers exert a positive intervention effect during the treatment period, while WeChat and consultation do not reduce energy consumption until late stage of the experiment. In terms of personality traits, the treatment effects of stickers and consultations are more effective than WeChat for open-minded people. Neurotic residents tend to conserve more energy when they only receive energy-saving tips regardless of the information delivery method. Consequently, providing residents with customized eco-feedback according to personality traits can better improve the treatment effect. The policy implications of this research could provide insights into energy demand[1]side management and promote energy-saving interventions in residential sector.",2022,"NA","NA","8",1,"OLS regression","electricity consumption","Difference in Difference",19.561,-1,19.322,"standard error",NA,"NA",NA,NA,NA,40,NA,NA,40,NA,80,NA,"uncertainty measures available",NA,NA,"actual","t-test",1.01236931994618,"NA",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"City",NA,NA,"Hangzhou","Zhejiang","China","Individual Household","NA","yes","No","Probably No","Probably Yes","Much of the missing data likely comes from the fact that our intervention of interest is only a small piece of this study and not its primary focus","35","12","December 2015 to August 2016 for total, April to July for treatment","no","Energy (kWh)","Stickers",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23-190",0.11246820034644,NA,NA,0.226372661773489,0.112946039185189,0.0123400228791587,373.339684,0.0123400228791587,0.0503202786374901,0.012987012987013,"Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","3","1","2","3","3","household",0,0,0,0,0,0,"0","Asia","OLS","DID",1,"NA","35","Yes","After",1,"Macro",116,"high"
"23-190-2","Luke","Shen, M.; Li, X.; Song, X.; Lu, Y.","Peer-Reviewed Paper",2022,"Linking personality traits to behavior-based intervention: Empirical evidence from Hangzhou, China","Eco-feedback has been considered as a promising approach to facilitating residential energy-saving behavior recently. However, the mechanism that how personality traits affect effectiveness of eco-feedback with different information delivery method is still unknown. To fill the knowledge gap, an energy conservation field experiment was conducted in residential communities in Hangzhou, China. Three information delivery methods, including stickers, WeChat, and face-to-face consultation, and two intervention contents including eco-feedback and energy-saving tips, were adopted to intervene subject residents separately. The findings suggest that the treat[1]ment effect was primarily determined by personality traits, demographics and situational factors. In addition, stickers exert a positive intervention effect during the treatment period, while WeChat and consultation do not reduce energy consumption until late stage of the experiment. In terms of personality traits, the treatment effects of stickers and consultations are more effective than WeChat for open-minded people. Neurotic residents tend to conserve more energy when they only receive energy-saving tips regardless of the information delivery method. Consequently, providing residents with customized eco-feedback according to personality traits can better improve the treatment effect. The policy implications of this research could provide insights into energy demand[1]side management and promote energy-saving interventions in residential sector.",2022,"NA","NA","8",2,"OLS regression","electricity consumption","Difference in Difference",41.958,-1,19.122,"standard error",NA,"NA",NA,NA,NA,40,NA,NA,40,NA,80,NA,"uncertainty measures available",NA,NA,"actual","t-test",2.19422654534045,"NA",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"City",NA,NA,"Hangzhou","Zhejiang","China","Individual Household","NA","yes","No","Probably No","Probably Yes","Much of the missing data likely comes from the fact that our intervention of interest is only a small piece of this study and not its primary focus","35","12","December 2015 to August 2016","no","Energy (kWh)","Stickers",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23-190",0.238257224612751,NA,NA,0.490643971341577,0.242925636198016,0.0112618914675782,365.650884,0.0112618914675782,0.0515045719163365,0.012987012987013,"Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","3","1","2","3","3","household",0,0,0,0,0,0,"0","Asia","OLS","DID",1,"NA","35","Yes","After",1,"Macro",117,"high"
"23-190-3","Luke","Shen, M.; Li, X.; Song, X.; Lu, Y.","Peer-Reviewed Paper",2022,"Linking personality traits to behavior-based intervention: Empirical evidence from Hangzhou, China","Eco-feedback has been considered as a promising approach to facilitating residential energy-saving behavior recently. However, the mechanism that how personality traits affect effectiveness of eco-feedback with different information delivery method is still unknown. To fill the knowledge gap, an energy conservation field experiment was conducted in residential communities in Hangzhou, China. Three information delivery methods, including stickers, WeChat, and face-to-face consultation, and two intervention contents including eco-feedback and energy-saving tips, were adopted to intervene subject residents separately. The findings suggest that the treat[1]ment effect was primarily determined by personality traits, demographics and situational factors. In addition, stickers exert a positive intervention effect during the treatment period, while WeChat and consultation do not reduce energy consumption until late stage of the experiment. In terms of personality traits, the treatment effects of stickers and consultations are more effective than WeChat for open-minded people. Neurotic residents tend to conserve more energy when they only receive energy-saving tips regardless of the information delivery method. Consequently, providing residents with customized eco-feedback according to personality traits can better improve the treatment effect. The policy implications of this research could provide insights into energy demand[1]side management and promote energy-saving interventions in residential sector.",2022,"NA","NA","8",3,"OLS regression","electricity consumption","Difference in Difference",3.838,-1,39.114,"standard error",NA,"NA",NA,NA,NA,40,NA,NA,40,NA,80,NA,"uncertainty measures available",NA,NA,"actual","t-test",0.0981234340645293,"NA",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"City",NA,NA,"Hangzhou","Zhejiang","China","Individual Household","NA","yes","No","Probably No","Probably Yes","Much of the missing data likely comes from the fact that our intervention of interest is only a small piece of this study and not its primary focus","35","12","December 2015 to August 2016","no","Energy (kWh)","WeChat",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23-190",0.0109698733311511,NA,NA,0.0219410668754006,0.0109703133942398,0.012655181496702,1529.904996,0.012655181496702,0.0500030088150977,0.012987012987013,"Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","3","1","2","3","3","household",0,0,0,0,0,0,"0","Asia","OLS","DID",1,"NA","35","Yes","After",1,"Macro",118,"high"
"23-190-4","Luke","Shen, M.; Li, X.; Song, X.; Lu, Y.","Peer-Reviewed Paper",2022,"Linking personality traits to behavior-based intervention: Empirical evidence from Hangzhou, China","Eco-feedback has been considered as a promising approach to facilitating residential energy-saving behavior recently. However, the mechanism that how personality traits affect effectiveness of eco-feedback with different information delivery method is still unknown. To fill the knowledge gap, an energy conservation field experiment was conducted in residential communities in Hangzhou, China. Three information delivery methods, including stickers, WeChat, and face-to-face consultation, and two intervention contents including eco-feedback and energy-saving tips, were adopted to intervene subject residents separately. The findings suggest that the treat[1]ment effect was primarily determined by personality traits, demographics and situational factors. In addition, stickers exert a positive intervention effect during the treatment period, while WeChat and consultation do not reduce energy consumption until late stage of the experiment. In terms of personality traits, the treatment effects of stickers and consultations are more effective than WeChat for open-minded people. Neurotic residents tend to conserve more energy when they only receive energy-saving tips regardless of the information delivery method. Consequently, providing residents with customized eco-feedback according to personality traits can better improve the treatment effect. The policy implications of this research could provide insights into energy demand[1]side management and promote energy-saving interventions in residential sector.",2022,"NA","NA","8",4,"OLS regression","electricity consumption","Difference in Difference",34.136,-1,40.921,"standard error",NA,"NA",NA,NA,NA,40,NA,NA,40,NA,80,NA,"uncertainty measures available",NA,NA,"actual","t-test",0.834192712788055,"NA",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"City",NA,NA,"Hangzhou","Zhejiang","China","Individual Household","NA","yes","No","Probably No","Probably Yes","Much of the missing data likely comes from the fact that our intervention of interest is only a small piece of this study and not its primary focus","35","12","December 2015 to August 2016","no","Energy (kWh)","WeChat",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23-190",0.0928625740053455,NA,NA,0.186531161212905,0.0931308958550094,0.0124408537812666,1674.528241,0.0124408537812666,0.0502174617131465,0.012987012987013,"Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","3","1","2","3","3","household",0,0,0,0,0,0,"0","Asia","OLS","DID",1,"NA","35","Yes","After",1,"Macro",119,"high"
"23-190-5","Luke","Shen, M.; Li, X.; Song, X.; Lu, Y.","Peer-Reviewed Paper",2022,"Linking personality traits to behavior-based intervention: Empirical evidence from Hangzhou, China","Eco-feedback has been considered as a promising approach to facilitating residential energy-saving behavior recently. However, the mechanism that how personality traits affect effectiveness of eco-feedback with different information delivery method is still unknown. To fill the knowledge gap, an energy conservation field experiment was conducted in residential communities in Hangzhou, China. Three information delivery methods, including stickers, WeChat, and face-to-face consultation, and two intervention contents including eco-feedback and energy-saving tips, were adopted to intervene subject residents separately. The findings suggest that the treat[1]ment effect was primarily determined by personality traits, demographics and situational factors. In addition, stickers exert a positive intervention effect during the treatment period, while WeChat and consultation do not reduce energy consumption until late stage of the experiment. In terms of personality traits, the treatment effects of stickers and consultations are more effective than WeChat for open-minded people. Neurotic residents tend to conserve more energy when they only receive energy-saving tips regardless of the information delivery method. Consequently, providing residents with customized eco-feedback according to personality traits can better improve the treatment effect. The policy implications of this research could provide insights into energy demand[1]side management and promote energy-saving interventions in residential sector.",2022,"NA","NA","8",5,"OLS regression","electricity consumption","Difference in Difference",14.316,-1,30.63,"standard error",NA,"NA",NA,NA,NA,40,NA,NA,40,NA,80,NA,"uncertainty measures available",NA,NA,"actual","t-test",0.467384916748286,"NA",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"City",NA,NA,"Hangzhou","Zhejiang","China","Individual Household","NA","yes","No","Probably No","Probably Yes","Much of the missing data likely comes from the fact that our intervention of interest is only a small piece of this study and not its primary focus","35","12","December 2015 to August 2016","no","Energy (kWh)","Face-to-face",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23-190",0.0521840237829642,NA,NA,0.104510444550725,0.0522314700263899,0.0125893806454585,938.1969,0.0125893806454585,0.0500682652063762,0.012987012987013,"Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","3","1","2","3","3","household",0,0,0,0,0,0,"0","Asia","OLS","DID",1,"NA","35","Yes","After",1,"Macro",120,"high"
"23-193-1","Luke","Kim, JH; Kaemingk, M","Peer-Reviewed Paper",2021,"Persisting effects of social norm feedback letters in reducing household electricity usage in Post-Soviet Eastern Europe: A randomize d controlle d trial","In a large-scale randomized field experiment in Chisinau, Moldova, with over 120,000 households, we tested the influence of a simple, one-time letter presenting electricity[1]usage social comparison feedback. The letter was framed in either kilowatt-hour units or monetary values. We find that both letter versions significantly reduce recipient house[1]holds’ electricity consumption by 1.7–2.1 percent in the following month, and the effect persists for at least three months. The effect’s magnitude and duration resemble those seen in similar trials in the U.S., even though Moldova’s average household electricity consump[1]tion level is much lower. As the first large-scale field experiment testing social compari[1]son energy reports in a post-Soviet environment, this study provides empirical evidence that non-price nudges can be an inexpensive yet useful energy conservation policy tool even in non-Western and less industrialized settings. We explore the relationship between Moldova’s socioecological contexts and environmental attitudes as a former Soviet Union country and the relatively strong social norm effect that we observed",2021,"NA","NA","7",1,"OLS regression","electricity consumption","Difference in Difference",0.021,-1,0.005,"standard error",NA,"232.4",NA,0.00903614457831325,232.4,49536,124.1,232.8,49536,124.3,49536,-0.400000000000006,"uncertainty measures available",124.200040257642,NA,"actual","t-test",4.2,"NA",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,"Chisinau",NA,"Moldova","Individual Household","NA","yes","No","Probably No","Probably No",NA,"13","13","May 22, 2019 plus three months",NA,"Energy (kWh)","letter","one time only",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23-193",0.018867376229406,NA,NA,0.0377414706212034,0.0188696154972701,2.01733758140444e-05,2.5e-05,2.01733758140444e-05,4.03818658077189e-05,2.0188561161246e-05,"Yes","No","No","No","No","Yes","No","Yes","No",NA,"No","No","No","No","Yes","No","No","No","3","1","2","2","3","household",0,0,0,0,0,0,"0","Europe excl. UK","OLS","DID",1,"232.4","13","Yes","After",0,"Minor",121,"high"
"23-193-2","Luke","Kim, JH; Kaemingk, M","Peer-Reviewed Paper",2021,"Persisting effects of social norm feedback letters in reducing household electricity usage in Post-Soviet Eastern Europe: A randomize d controlle d trial","In a large-scale randomized field experiment in Chisinau, Moldova, with over 120,000 households, we tested the influence of a simple, one-time letter presenting electricity[1]usage social comparison feedback. The letter was framed in either kilowatt-hour units or monetary values. We find that both letter versions significantly reduce recipient house[1]holds’ electricity consumption by 1.7–2.1 percent in the following month, and the effect persists for at least three months. The effect’s magnitude and duration resemble those seen in similar trials in the U.S., even though Moldova’s average household electricity consump[1]tion level is much lower. As the first large-scale field experiment testing social compari[1]son energy reports in a post-Soviet environment, this study provides empirical evidence that non-price nudges can be an inexpensive yet useful energy conservation policy tool even in non-Western and less industrialized settings. We explore the relationship between Moldova’s socioecological contexts and environmental attitudes as a former Soviet Union country and the relatively strong social norm effect that we observed",2021,"NA","NA","7",2,"OLS regression","electricity consumption","Difference in Difference",0.017,-1,0.005,"standard error",NA,"232.4",NA,0.00731497418244406,232.4,22915,124.1,231,22915,123.1,22915,1.40000000000001,"uncertainty measures available",123.601011322723,NA,"actual","t-test",3.4,"NA",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,"Chisinau",NA,"Moldova","Individual Household","NA","yes","No","Probably No","Probably No",NA,"13","13","May 22, 2019 plus three months",NA,"Energy (kWh)","letter","one time only",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23-193",0.022454814357839,NA,NA,0.0449209551361341,0.0224585895456942,4.35974433473333e-05,2.5e-05,4.35974433473333e-05,8.73010898124628e-05,4.3645251396648e-05,"Yes","No","No","No","No","Yes","No","Yes","No",NA,"No","No","No","No","Yes","No","No","No","3","1","2","2","3","household",0,0,0,0,0,0,"0","Europe excl. UK","OLS","DID",1,"232.4","13","Yes","After",0,"Minor",122,"high"
"23-196-1","Luke","Bonan, J; Bonan, J; Cattaneo, C; d'Adda, G; d'Adda, G; d'Adda, G; Tavoni, M; Tavoni, M","Peer-Reviewed Paper",2020,"The interaction of descriptive and injunctive social norms in promoting energy conservation","Behavioural interventions that leverage social norms are widely used to foster energy conservation. For instance, home energy reports combine information on others’ behaviour (descriptive feedback) and approval for norm compliant behaviour (injunctive feedback). In a randomized controlled trial, we investigated how descriptive and injunctive feedbacks interact to affect electricity use, and evaluate the effects of additional normative feedback presented in the form of descriptive or injunctive energy conservation norm primes. We found that consistent descriptive and injunctive feedback boosts the effectiveness of social information in inducing energy conservation. When descriptive and injunctive feedback are in conflict, conservation behaviour is a function of the relative strength of the two types of feedback. Additional normative feedback produces smaller gains when it reinforces existing information of the same type. These results suggest complementarities between different types of normative messages rather than superiority of any one kind of feedback.",2020,"NA","NA","5",1,"OLS regression","electric consumption kWh","Difference in Difference",2.426,-1,0.619,"standard error",NA,NA,"Baseline referenced but not explicitly provided",NA,NA,46345,NA,NA,127899,NA,464523,NA,"uncertainty measures available",NA,NA,"actual","t-test",3.91922455573506,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"Utility Area",NA,NA,NA,NA,"Italy","Individual Household","No","yes","No","Probably No","Probably No",NA,"60","8","pre-intervention JUne 2015-June 2016 (52 weeks). April-May 2018 treatment (8 weeks)",NA,"Energy (kWh)","email","one time only",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"0",0,NA,NA,NA,NA,NA,NA,NA,"12/10/2023",NA,"23-196",0.00575028481618035,NA,NA,0.0115007597747027,0.00575034819664662,2.1526082070223e-06,0.383161,2.1526082070223e-06,2.93963496452376e-05,2.15275983811246e-06,"Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","3","1","2","2","3","household",0,0,0,0,0,0,"0","Europe excl. UK","OLS","DID",1,NA,"60","Yes","After",0,"Minor",123,"high"
"23-196-10","Luke","Bonan, J; Bonan, J; Cattaneo, C; d'Adda, G; d'Adda, G; d'Adda, G; Tavoni, M; Tavoni, M","Peer-Reviewed Paper",2020,"The interaction of descriptive and injunctive social norms in promoting energy conservation","Behavioural interventions that leverage social norms are widely used to foster energy conservation. For instance, home energy reports combine information on others’ behaviour (descriptive feedback) and approval for norm compliant behaviour (injunctive feedback). In a randomized controlled trial, we investigated how descriptive and injunctive feedbacks interact to affect electricity use, and evaluate the effects of additional normative feedback presented in the form of descriptive or injunctive energy conservation norm primes. We found that consistent descriptive and injunctive feedback boosts the effectiveness of social information in inducing energy conservation. When descriptive and injunctive feedback are in conflict, conservation behaviour is a function of the relative strength of the two types of feedback. Additional normative feedback produces smaller gains when it reinforces existing information of the same type. These results suggest complementarities between different types of normative messages rather than superiority of any one kind of feedback.",2020,"NA","NA","5",10,"OLS regression","electric consumption kWh","Difference in Difference",2.349,-1,0.611,"standard error",NA,NA,"Baseline referenced but not explicitly provided",NA,NA,46345,NA,NA,127899,NA,464523,NA,"uncertainty measures available",NA,NA,"No p-value","t-test",3.84451718494272,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"Utility Area",NA,NA,NA,NA,"Italy","Individual Household","No","yes","No","Probably No","Probably No",NA,"60","8","pre-intervention JUne 2015-June 2016 (52 weeks). April-May 2018 treatment (8 weeks)",NA,"Energy (kWh)","email","one time only",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"0",0,NA,NA,NA,NA,NA,NA,NA,"12/10/2023",NA,"23-196",0.00564067771082343,NA,NA,0.0112815348967546,0.00564073753557371,2.15261358239709e-06,0.373321,2.15261358239709e-06,2.93963353134794e-05,2.15275983811246e-06,"Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","3","1","2","2","3","household",0,0,0,0,0,0,"0","Europe excl. UK","OLS","DID",1,NA,"60","Yes","After",0,"Minor",124,"high"
"23-196-11","Luke","Bonan, J; Bonan, J; Cattaneo, C; d'Adda, G; d'Adda, G; d'Adda, G; Tavoni, M; Tavoni, M","Peer-Reviewed Paper",2020,"The interaction of descriptive and injunctive social norms in promoting energy conservation","Behavioural interventions that leverage social norms are widely used to foster energy conservation. For instance, home energy reports combine information on others’ behaviour (descriptive feedback) and approval for norm compliant behaviour (injunctive feedback). In a randomized controlled trial, we investigated how descriptive and injunctive feedbacks interact to affect electricity use, and evaluate the effects of additional normative feedback presented in the form of descriptive or injunctive energy conservation norm primes. We found that consistent descriptive and injunctive feedback boosts the effectiveness of social information in inducing energy conservation. When descriptive and injunctive feedback are in conflict, conservation behaviour is a function of the relative strength of the two types of feedback. Additional normative feedback produces smaller gains when it reinforces existing information of the same type. These results suggest complementarities between different types of normative messages rather than superiority of any one kind of feedback.",2020,"NA","NA","5",11,"OLS regression","electric consumption kWh","Difference in Difference",0.047,-1,0.686,"standard error",NA,NA,"Baseline referenced but not explicitly provided",NA,NA,46345,NA,NA,128588,NA,464523,NA,"uncertainty measures available",NA,NA,"No p-value","t-test",0.0685131195335277,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"Utility Area",NA,NA,NA,NA,"Italy","Individual Household","No","yes","No","Probably No","Probably No",NA,"60","8","pre-intervention JUne 2015-June 2016 (52 weeks). April-May 2018 treatment (8 weeks)",NA,"Energy (kWh)","email","one time only",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"0",0,NA,NA,NA,NA,NA,NA,NA,"12/10/2023",NA,"23-196",0.000100524085056112,NA,NA,0.000201048171128029,0.000100524085394644,2.15275052589504e-06,0.470596,2.15275052589504e-06,2.93540762330484e-05,2.15275983811246e-06,"Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","3","1","2","2","3","household",0,0,0,0,0,0,"0","Europe excl. UK","OLS","DID",1,NA,"60","Yes","After",0,"Minor",125,"high"
